pair,acronym,description,frequency_all_disciplines
"('PET/CT', 'positron emission tomography/computed tomography')",PET/CT,positron emission tomography/computed tomography,3
"('LM', 'leucocitos mononucleares')",LM,leucocitos mononucleares,2
"('SM', 'suplementos multivitamínicos')",SM,suplementos multivitamínicos,3
"('CAP', 'centros de atención primaria')",CAP,centros de atención primaria,6
"('e.i.i.', 'enfermedad inflamatoria intestinal')",e.i.i.,enfermedad inflamatoria intestinal,1
"('ATB', 'accidentes de trabajo (at) previos con')",ATB,accidentes de trabajo (at) previos con,1
"('COR', 'característica operativa del receptor')",COR,característica operativa del receptor,15
"('P.E.M.A.', 'prueba de espermomigración alejada')",P.E.M.A.,prueba de espermomigración alejada,1
"('LE90', 'límite espectral 90%')",LE90,límite espectral 90%,5
"('EE', 'embarazo ectópico')",EE,embarazo ectópico,4
"('PPcH', 'pacientes pediátricos con hemofilia')",PPcH,pacientes pediátricos con hemofilia,3
"('CCC', 'communication checklist')",CCC,communication checklist,2
"('DCM', 'disfunción cerebral mínima')",DCM,disfunción cerebral mínima,1
"('EA', 'eventos adversos')",EA,eventos adversos,2
"('EF', 'ejercicio físico')",EF,ejercicio físico,5
"('TA', 'tensión arterial')",TA,tensión arterial,4
"('RG', 'residuo gástrico')",RG,residuo gástrico,4
"('ANCA', 'anti citoplasma del neutrofilo')",ANCA,anti citoplasma del neutrofilo,2
"('PALOC', 'perimetría automatizada de longitud de onda corta')",PALOC,perimetría automatizada de longitud de onda corta,6
"('Igs', 'inmunoglobulinas')",Igs,inmunoglobulinas,4
"('HPS', 'hiperglucemia postoperatoria severa')",HPS,hiperglucemia postoperatoria severa,5
"('OAB-FIM', 'overactive bladder family impact measure')",OAB-FIM,overactive bladder family impact measure,2
"('VCM', 'volumen corpuscular medio')",VCM,volumen corpuscular medio,2
"('VM', 'ventilación mecánica')",VM,ventilación mecánica,9
"('MINSA', 'ministerio de salud')",MINSA,ministerio de salud,3
"('Parte I', 'posible aprovechamiento en la terapéutica')",Parte I,posible aprovechamiento en la terapéutica,1
"('AP-CP', 'autoeficacia para el control de peso')",AP-CP,autoeficacia para el control de peso,1
"('Grupo PRE', 'grupo preintervención')",Grupo PRE,grupo preintervención,1
"('CA195', 'carbono 195')",CA195,carbono 195,1
"('TdM', 'teoria de la mente')",TdM,teoria de la mente,2
"('VIH-1', 'virus de inmunodeficiencia human tipo 1')",VIH-1,virus de inmunodeficiencia human tipo 1,1
"('IAAS', 'infecciones asociadas a la atención en salud')",IAAS,infecciones asociadas a la atención en salud,5
"('ZNO', 'zona noroeste')",ZNO,zona noroeste,5
"('CIA', 'comunicación interauricular')",CIA,comunicación interauricular,7
"('mMRC', 'modificada del medical research council')",mMRC,modificada del medical research council,1
"('TRO', 'terapias de rehidratación oral')",TRO,terapias de rehidratación oral,1
"('ML', 'modelo de regresión logístico')",ML,modelo de regresión logístico,2
"('PAA', 'programas de ayuda alimentaria')",PAA,programas de ayuda alimentaria,1
"('PSMAR', 'parc de salut mar')",PSMAR,parc de salut mar,2
"('EULA', 'evaluacion de la apraxia de los miembros superiores')",EULA,evaluacion de la apraxia de los miembros superiores,3
"('MIS', 'mínima invasión')",MIS,mínima invasión,4
"('TSN', 'terapia sustitutiva con nicotina')",TSN,terapia sustitutiva con nicotina,1
"('OAK', 'older acute heart failure key data')",OAK,older acute heart failure key data,3
"('PEP', 'presión espiratoria positiva')",PEP,presión espiratoria positiva,3
"('CC', 'cervical')",CC,cervical,3
"('RR', 'riesgos relativos')",RR,riesgos relativos,16
"('SIADH', 'secrecion inadecuada de adh')",SIADH,secrecion inadecuada de adh,5
"('EGB', 'estreptococo del grupo b')",EGB,estreptococo del grupo b,5
"('SAMU', 'servicio de atención médica urgente')",SAMU,servicio de atención médica urgente,1
"('MLC', 'mixto de linfocitos')",MLC,mixto de linfocitos,3
"('AS', 'años de edad beneficiarios')",AS,años de edad beneficiarios,2
"('apoE', 'apolipoproteína e')",apoE,apolipoproteína e,3
"('SRAS', 'síndrome respiratorio agudo severo')",SRAS,síndrome respiratorio agudo severo,4
"('APS', 'atención primaria de salud')",APS,atención primaria de salud,2
"('USSB', 'utilización de servicios de salud bucal')",USSB,utilización de servicios de salud bucal,1
"('NPT', 'nutrición parenteral total')",NPT,nutrición parenteral total,15
"('SUP', 'servicios de urgencias pediátricos')",SUP,servicios de urgencias pediátricos,10
"('gtc', 'globulina transportadora de corticoides')",gtc,globulina transportadora de corticoides,2
"('FUCD', 'fístulas uretrocutáneas distales')",FUCD,fístulas uretrocutáneas distales,1
"('normopeso', 'nutricional de la población estudiada mostró en general una mayor prevalencia con peso saludable')",normopeso,nutricional de la población estudiada mostró en general una mayor prevalencia con peso saludable,1
"('EO', 'emergencias obstétricas')",EO,emergencias obstétricas,5
"('MMC', 'mitomycin c')",MMC,mitomycin c,4
"('NAVM', 'neumonía asociada a ventilación mecánica')",NAVM,neumonía asociada a ventilación mecánica,8
"('NoTD', 'no tolerantes al dolor')",NoTD,no tolerantes al dolor,1
"('STP', 'síndrome de tensión premenstrual')",STP,síndrome de tensión premenstrual,1
"('ATM', 'articulación temporomandibular')",ATM,articulación temporomandibular,1
"('MAV', 'malformaciones arteriovenosas')",MAV,malformaciones arteriovenosas,15
"('SVS', 'sistema vasco de salud')",SVS,sistema vasco de salud,4
"('SEPEAP', 'sociedad española de pediatría extrahospitalaria y atención primaria')",SEPEAP,sociedad española de pediatría extrahospitalaria y atención primaria,2
"('BCS', 'bebidas carbonatadas')",BCS,bebidas carbonatadas,2
"('PIM', 'potencialmente inapropiados')",PIM,potencialmente inapropiados,3
"('media', 'mostro celulas foliculo-estrelladas positivas para s-100')",media,mostro celulas foliculo-estrelladas positivas para s-100,5
"('ITS-AC', 'its adquiridas en la comunidad')",ITS-AC,its adquiridas en la comunidad,3
"('SMD', 'síndromes mielodisplásicos')",SMD,síndromes mielodisplásicos,5
"('EF', 'estreñimiento funcional')",EF,estreñimiento funcional,1
"('ROC', 'receiver operating characteristic')",ROC,receiver operating characteristic,7
"('QOL-AD', ""quality of life in alzheimer's disease"")",QOL-AD,quality of life in alzheimer's disease,4
"('CQ', 'cloroquina')",CQ,cloroquina,1
"('PAIS', 'proyecto de acción interdisciplinaria en salud')",PAIS,proyecto de acción interdisciplinaria en salud,3
"('SEPN1', 'selenoproteina 1')",SEPN1,selenoproteina 1,3
"('EPO', 'eritropoyetina')",EPO,eritropoyetina,4
"('DCA', 'daño cerebral adquirido')",DCA,daño cerebral adquirido,5
"('NPA', 'nefropatía secundaria a púrpura anafilactoide')",NPA,nefropatía secundaria a púrpura anafilactoide,7
"('EM', 'errores de medicación')",EM,errores de medicación,2
"('C.P.R.E.', 'colangio pancreatografía retrógrada por vía endoscópica')",C.P.R.E.,colangio pancreatografía retrógrada por vía endoscópica,3
"('NICE', 'national institute for health and clinical excellence')",NICE,national institute for health and clinical excellence,4
"('ADO', 'antidiabeticos orales')",ADO,antidiabeticos orales,2
"('SNC', 'sistema nervioso central')",SNC,sistema nervioso central,29
"('España', 'españolas, 29 de mayo a l de junio de 1983, oviedo')",España,"españolas, 29 de mayo a l de junio de 1983, oviedo",3
"('TP', 'tiempo de protrombina')",TP,tiempo de protrombina,4
"('CVRS', 'calidad de vida relacionada a la salud')",CVRS,calidad de vida relacionada a la salud,2
"('CBTMO', 'criobiología y biología del trasplante de médula osea')",CBTMO,criobiología y biología del trasplante de médula osea,4
"('I.P.I.', 'inventario de perfeccionismo infantil')",I.P.I.,inventario de perfeccionismo infantil,1
"('U.A.M.', 'unidad clínica hematológica de la clínica puerta de hierro')",U.A.M.,unidad clínica hematológica de la clínica puerta de hierro,2
"('A.H.F.', 'anemia hipocroma ferropriva')",A.H.F.,anemia hipocroma ferropriva,2
"('I.', 'infarto agudo del miocardio.')",I.,infarto agudo del miocardio.,2
"('Hb', 'hemoglobina plasmática')",Hb,hemoglobina plasmática,4
"('GETECCU', 'grupo español de trabajo en enfermedad de crohn y colitis ulcerosa')",GETECCU,grupo español de trabajo en enfermedad de crohn y colitis ulcerosa,5
"('SNT', 'sindrome neurologico tardio')",SNT,sindrome neurologico tardio,4
"('MCC-Spain', 'multicase-control study in common tumours in spain')",MCC-Spain,multicase-control study in common tumours in spain,1
"('LC', 'lumbalgia crónica')",LC,lumbalgia crónica,2
"('CRM', 'cirugía de revascularización miocárdica')",CRM,cirugía de revascularización miocárdica,5
"('AST', 'abordaje del seno del tarso')",AST,abordaje del seno del tarso,4
"('CPCNM', 'carcinoma de pulmón de células no microcelulares')",CPCNM,carcinoma de pulmón de células no microcelulares,7
"('CCR', 'carcinomas de células renales')",CCR,carcinomas de células renales,7
"('ASA', 'american society of anesthesiologists')",ASA,american society of anesthesiologists,7
"('SNT', 'sepsis neonatal temprana')",SNT,sepsis neonatal temprana,3
"('GEEEAAC', 'grupo español de estudio del empleo de aprotinina en artroplastia de cadera')",GEEEAAC,grupo español de estudio del empleo de aprotinina en artroplastia de cadera,3
"('BLEE', 'betalactamasa de espectro extendido')",BLEE,betalactamasa de espectro extendido,2
"('QTI', 'quimioterapia intensa')",QTI,quimioterapia intensa,5
"('YY-1', 'yang-1')",YY-1,yang-1,2
"('EAT', 'exposición alta')",EAT,exposición alta,1
"('Pt', 'puntuaciones típicas')",Pt,puntuaciones típicas,5
"('PG', 'puntuación de gleason')",PG,puntuación de gleason,2
"('GID', 'ganancia de peso interdiálisis')",GID,ganancia de peso interdiálisis,6
"('AVB', 'atresia de vías biliares')",AVB,atresia de vías biliares,8
"('TSOG', 'test de sobrecarga oral a la glucosa')",TSOG,test de sobrecarga oral a la glucosa,4
"('TM', 'tiempo de mantenimiento')",TM,tiempo de mantenimiento,1
"('y II', 'y la extensión relativa de la irrigación coronaria')",y II,y la extensión relativa de la irrigación coronaria,1
"('DSA', 'de sexismo en adolescentes')",DSA,de sexismo en adolescentes,1
"('RECAMA', 'red computarizada automática de monitoreo del aire del valle de méxico')",RECAMA,red computarizada automática de monitoreo del aire del valle de méxico,1
"('DE', 'disruptor endócrino')",DE,disruptor endócrino,1
"('IAMSEST', 'infarto agudo de miocardio sin elevación del segmento st')",IAMSEST,infarto agudo de miocardio sin elevación del segmento st,4
"('MD', 'micción disfuncional')",MD,micción disfuncional,2
"('TPG', 'traumatismos potencialmente graves')",TPG,traumatismos potencialmente graves,1
"('AT', 'al trigo')",AT,al trigo,2
"('ZAP', 'zona de alta presión')",ZAP,zona de alta presión,1
"('LCD', 'leucemia en células del donador')",LCD,leucemia en células del donador,5
"('HACMLE', 'hospital de asistencia a crónicos de media y larga estancia')",HACMLE,hospital de asistencia a crónicos de media y larga estancia,3
"('ANCA', 'anticitoplasma de neutrófilo')",ANCA,anticitoplasma de neutrófilo,7
"('LMC', 'leucemia mieloide cr&oacute;nica')",LMC,leucemia mieloide cr&oacute;nica,4
"('IPA', 'incisiones pequeñas adaptadas')",IPA,incisiones pequeñas adaptadas,2
"('TCV', 'tarjeta colorimétrica visual')",TCV,tarjeta colorimétrica visual,3
"('GesEPOC', 'guía española de la enfermedad pulmonar obstructiva crónica (epoc)')",GesEPOC,guía española de la enfermedad pulmonar obstructiva crónica (epoc),2
"('TMI-M', 'tasa de mortalidad infantil por microcefalia')",TMI-M,tasa de mortalidad infantil por microcefalia,3
"('FC', 'flexión de cadera')",FC,flexión de cadera,3
"('IRCT', 'insuficiencia renal crónica terminal')",IRCT,insuficiencia renal crónica terminal,4
"('GSRS', 'gastrointestinales')",GSRS,gastrointestinales,2
"('MLQ', 'multifactor leadership questionnaire')",MLQ,multifactor leadership questionnaire,1
"('PRISMA-P', 'preferred reporting items for systematic reviews and meta-analyses protocols')",PRISMA-P,preferred reporting items for systematic reviews and meta-analyses protocols,1
"('DEIS', 'de estadísticas e información en salud')",DEIS,de estadísticas e información en salud,1
"('LDX', 'lisdexanfetamina')",LDX,lisdexanfetamina,1
"('DPC', 'desnutrición proteico-calórica')",DPC,desnutrición proteico-calórica,1
"('CIA', 'consumo intensivo de alcohol')",CIA,consumo intensivo de alcohol,2
"('URV', 'unidades relativas de valor')",URV,unidades relativas de valor,1
"('TAB-Di-Te', 'tífica, paratífica a y b diftérica y tetánica')",TAB-Di-Te,"tífica, paratífica a y b diftérica y tetánica",2
"('ADHD-RS', 'adhd rating scale')",ADHD-RS,adhd rating scale,3
"('ECOSNA', 'escala de culpa por obesidad o sobrepeso para niños y adolescentes')",ECOSNA,escala de culpa por obesidad o sobrepeso para niños y adolescentes,1
"('LE', 'loncheras (fiambreras) escolares')",LE,loncheras (fiambreras) escolares,3
"('ODM', 'objetivos de desarrollo del milenio')",ODM,objetivos de desarrollo del milenio,3
"('E1', 'españa 0001')",E1,españa 0001,7
"('I parte', 'intraoperatoria no terapéutica: causas, complicaciones, prevención y tratamiento')",I parte,"intraoperatoria no terapéutica: causas, complicaciones, prevención y tratamiento",1
"('SAOS', 'sindrome de apnea obstructiva del sueño')",SAOS,sindrome de apnea obstructiva del sueño,6
"('RBANS', 'repeatable battery for the assessment of neuropsychological status')",RBANS,repeatable battery for the assessment of neuropsychological status,1
"('EA', 'enfermedades autoinmunes')",EA,enfermedades autoinmunes,1
"('PGB', 'pregabalina')",PGB,pregabalina,3
"('PLT', 'pliegue tricipital')",PLT,pliegue tricipital,1
"('M DMQ-R', 'modified drinking motives questionnaire-revised')",M DMQ-R,modified drinking motives questionnaire-revised,1
"('ICSI', 'infusión continua subcutánea de insulina')",ICSI,infusión continua subcutánea de insulina,3
"('IHQ', 'inmunohistoquímica')",IHQ,inmunohistoquímica,5
"('SEFH', 'sociedad española de farmacia hospitalaria')",SEFH,sociedad española de farmacia hospitalaria,4
"('ENAHO', 'encuesta nacional de hogares')",ENAHO,encuesta nacional de hogares,4
"('GHB', 'gamma-hidroxi-butirato')",GHB,gamma-hidroxi-butirato,1
"('PMR', 'patógenos multirresistentes')",PMR,patógenos multirresistentes,2
"('ECRAF', 'european consortium for rheumatoid arthritis familiar')",ECRAF,european consortium for rheumatoid arthritis familiar,3
"('PMM-REDAN', 'pmm que utilizan servicios redan')",PMM-REDAN,pmm que utilizan servicios redan,1
"('ReDeGi', 'registro de demencias de girona')",ReDeGi,registro de demencias de girona,5
"('DE', 'desviación estándar')",DE,desviación estándar,3
"('CUCI', 'colitis ulcerosa crónica idiopática')",CUCI,colitis ulcerosa crónica idiopática,2
"('HSNS', 'hypersensitive narcissism scale')",HSNS,hypersensitive narcissism scale,1
"('USSO', 'utilización de servicios de salud odontológicos')",USSO,utilización de servicios de salud odontológicos,1
"('CCI', 'consultivo de inmunizaciones')",CCI,consultivo de inmunizaciones,11
"('AFG', 'actividades fisicas grupales')",AFG,actividades fisicas grupales,5
"('DOMS', 'delayed onset muscular soreness')",DOMS,delayed onset muscular soreness,3
"('Glut1', 'glucosa tipo 1')",Glut1,glucosa tipo 1,2
"('SN', 'suplementos nutricionales')",SN,suplementos nutricionales,2
"('SILEX', 'sistema de información de lesiones de causa externa')",SILEX,sistema de información de lesiones de causa externa,3
"('GETMON', 'grupo español para el trasplante de médula osea en niños')",GETMON,grupo español para el trasplante de médula osea en niños,6
"('GWAS', 'genomewide association studies')",GWAS,genomewide association studies,1
"('WAST', 'woman abuse screening tool')",WAST,woman abuse screening tool,1
"('DM2', 'diabetes mellitus tipo 2')",DM2,diabetes mellitus tipo 2,32
"('ETS', 'enfermedades de transmisión sexual')",ETS,enfermedades de transmisión sexual,8
"('RPa', 'razones de prevalencia ajustada')",RPa,razones de prevalencia ajustada,3
"('eas', 'estenosis aórtica supravalvular')",eas,estenosis aórtica supravalvular,2
"('SD', 'síndrome de down')",SD,síndrome de down,14
"('URS-F', 'ureterorrenoscopia flexible')",URS-F,ureterorrenoscopia flexible,1
"('SAS', 'servicio andaluz de salud')",SAS,servicio andaluz de salud,1
"('EHE', 'estados hipertensivos del embarazo')",EHE,estados hipertensivos del embarazo,3
"('SIVELCE', 'sistema de vigilancia epidemiológica de lesiones de causa externa')",SIVELCE,sistema de vigilancia epidemiológica de lesiones de causa externa,4
"('ABiF', 'andalusian bipolar family')",ABiF,andalusian bipolar family,5
