pair,acronym,description
"('URS-F', 'ureterorrenoscopia flexible')",URS-F,ureterorrenoscopia flexible
"('SAAS', 'sin antecedente de abuso sexual')",SAAS,sin antecedente de abuso sexual
"('N2 LIQ.', 'nitrogeno liquido')",N2 LIQ.,nitrogeno liquido
"('ECE', 'establecimientos de consumo escolar')",ECE,establecimientos de consumo escolar
"('SIVFRENT-A', 'sistema de vigilancia de factores de riesgo de enfermedades no transmisibles')",SIVFRENT-A,sistema de vigilancia de factores de riesgo de enfermedades no transmisibles
"('CIE-9', 'clasificación internacional de enfermedades, 9.(a) revisión')",CIE-9,"clasificación internacional de enfermedades, 9.(a) revisión"
"('EMT', 'estimulacion magnetica transcraneal')",EMT,estimulacion magnetica transcraneal
"('CDI', 'cuestionario de depresión infantil')",CDI,cuestionario de depresión infantil
"('Cis-Pt', 'cis-platino')",Cis-Pt,cis-platino
"('II', 'indicadores bibliométricos.')",II,indicadores bibliométricos.
"('IBP', 'inhibidores de la bomba de protones')",IBP,inhibidores de la bomba de protones
"('PM(2,5)', 'partículas de diámetro inferior a 2,5 micras')","PM(2,5)","partículas de diámetro inferior a 2,5 micras"
"('PIB', 'producto interno bruto')",PIB,producto interno bruto
"('Decapoda', 'de captura y reproducción de la langosta verde panulirus gracilis')",Decapoda,de captura y reproducción de la langosta verde panulirus gracilis
"('SCD', 'síndrome de costilla deslizante')",SCD,síndrome de costilla deslizante
"('TMB', 'tasa metabólica basal')",TMB,tasa metabólica basal
"('ANC', 'atención nutricional convencional')",ANC,atención nutricional convencional
"('Minsa', 'ministerio de salud')",Minsa,ministerio de salud
"('BLOC', 'batería de lenguaje objetiva y criterial')",BLOC,batería de lenguaje objetiva y criterial
"('RIC', 'rango intercuartíl')",RIC,rango intercuartíl
"('CPRE', 'colangiopancreatografia retrógrada endoscópica')",CPRE,colangiopancreatografia retrógrada endoscópica
"('Psq', 'pseudoquiste')",Psq,pseudoquiste
"('GEP', 'gastrostomía endoscópica percutánea')",GEP,gastrostomía endoscópica percutánea
"('CISCA', 'cisplatino, adriamicina y ciclofosfamida')",CISCA,"cisplatino, adriamicina y ciclofosfamida"
"('H.D.A.', 'hemorragia digestiva alta')",H.D.A.,hemorragia digestiva alta
"('NACTA', 'neumonía adquirida en la comunidad tratada ambulatoriamente')",NACTA,neumonía adquirida en la comunidad tratada ambulatoriamente
"('AT', 'arteritis de takayasu')",AT,arteritis de takayasu
"('GER', 'gasto energético en reposo')",GER,gasto energético en reposo
"('PCR-us', 'proteína c reactiva ultrasensible')",PCR-us,proteína c reactiva ultrasensible
"('GMF', 'grupo psicoeducacional multifamiliar')",GMF,grupo psicoeducacional multifamiliar
"('PSC', 'placa de sostén condíleo')",PSC,placa de sostén condíleo
"('FIAB', 'federación de industrias de alimentación y bebidas')",FIAB,federación de industrias de alimentación y bebidas
"('RLM', 'regresión logística múltiple')",RLM,regresión logística múltiple
"('RIA', 'radioinmunoanálisis')",RIA,radioinmunoanálisis
"('CC', 'composición corporal')",CC,composición corporal
"('EMAD', 'encefalomielitis aguda diseminada')",EMAD,encefalomielitis aguda diseminada
"('R.G.E.', 'reflujo gastroesofágico')",R.G.E.,reflujo gastroesofágico
"('MFS', 'morse fall scale')",MFS,morse fall scale
"('ABSST', 'actionable bladder symptoms screening tool')",ABSST,actionable bladder symptoms screening tool
"('dm', 'dosismedia')",dm,dosismedia
"('RVU', 'reflujo vesicoureteral')",RVU,reflujo vesicoureteral
"('HN', 'hidronefrosis')",HN,hidronefrosis
"('DC', 'dieta cetogenica')",DC,dieta cetogenica
"('EC', 'errores de conciliación')",EC,errores de conciliación
"('EC', 'enfermedad celíaca')",EC,enfermedad celíaca
"('E.T.', 'esclerosis tuberosa')",E.T.,esclerosis tuberosa
"('SIS', 'síndrome de pinzamiento subacromial')",SIS,síndrome de pinzamiento subacromial
"('EFAM', 'evaluación funcional del adulto mayor')",EFAM,evaluación funcional del adulto mayor
"('MFM', 'miofibrotomia multiple')",MFM,miofibrotomia multiple
"('SUP', 'servicios de urgencias pediátricas')",SUP,servicios de urgencias pediátricas
"('A.R.J', 'artritis reumatoidea juvenil')",A.R.J,artritis reumatoidea juvenil
"('U.P.I.G.O.', 'unión profesional internacional de ginecologos y obstetras')",U.P.I.G.O.,unión profesional internacional de ginecologos y obstetras
"('ACT', 'asthma control test')",ACT,asthma control test
"('ONGD', 'organizaciones no gubernamentales para el desarrollo')",ONGD,organizaciones no gubernamentales para el desarrollo
"('DSG', 'dieta sin gluten')",DSG,dieta sin gluten
"('GCED', 'grupo catalán de estudio de la diabetes')",GCED,grupo catalán de estudio de la diabetes
"('AA', 'aguda')",AA,aguda
"('CAE', 'comisurotomía anterior endoscópica')",CAE,comisurotomía anterior endoscópica
"('EM', 'equipo de mejora')",EM,equipo de mejora
"('CGI-S', 'clinical global impression-severity')",CGI-S,clinical global impression-severity
"('IPA', 'incisiones pequeñas adaptadas')",IPA,incisiones pequeñas adaptadas
"('VRS', 'virus respiratorio sincicial')",VRS,virus respiratorio sincicial
"('GesEPOC', 'guía española de la enfermedad pulmonar obstructiva crónica (epoc)')",GesEPOC,guía española de la enfermedad pulmonar obstructiva crónica (epoc)
"('PCT', 'procalcitonina')",PCT,procalcitonina
"('BSFI', 'brief sexual function inventory')",BSFI,brief sexual function inventory
"('VN', 'vejiga neurógena')",VN,vejiga neurógena
"('HGC', 'hibridación genómica comparada')",HGC,hibridación genómica comparada
"('CC', 'calórico de la dieta')",CC,calórico de la dieta
"('MMAE', 'masa muscular apendicular esquelética')",MMAE,masa muscular apendicular esquelética
"('CC', 'cuchara')",CC,cuchara
"('BBP', 'barro biliar persistente')",BBP,barro biliar persistente
"('FOS', 'fructooligosacáridos')",FOS,fructooligosacáridos
"('LES', 'lupus eritematoso sistemico')",LES,lupus eritematoso sistemico
"('CIA', 'consumo intensivo de alcohol')",CIA,consumo intensivo de alcohol
"('EAE', 'entrenamiento')",EAE,entrenamiento
"('FRC', 'factores de riesgo coronario')",FRC,factores de riesgo coronario
"('PPI', 'prescripción potencialmente inadecuada')",PPI,prescripción potencialmente inadecuada
"('SBC', 'subcitrato de bismuto coloidal')",SBC,subcitrato de bismuto coloidal
"('QTI', 'quimioterapia intensa')",QTI,quimioterapia intensa
"('FDF', 'fractura de diáfisis femoral')",FDF,fractura de diáfisis femoral
"('GIDSEEN', 'grupo de identidad y diferenciación sexual de la seen')",GIDSEEN,grupo de identidad y diferenciación sexual de la seen
"('SA', 'síndrome de alagille')",SA,síndrome de alagille
"('FQ', 'fibrosis quística')",FQ,fibrosis quística
"('MAC', 'medicina alternativa y complementaria')",MAC,medicina alternativa y complementaria
"('INPer', 'instituto nacional de perinatología')",INPer,instituto nacional de perinatología
"('NF1', 'neurofibromatosis tipo 1')",NF1,neurofibromatosis tipo 1
"('ITS-AC', 'its adquiridas en la comunidad')",ITS-AC,its adquiridas en la comunidad
"('AVG', 'año de vida ganado')",AVG,año de vida ganado
"('CRPCE', 'cirugía de resección pulmonar de corta estancia')",CRPCE,cirugía de resección pulmonar de corta estancia
"('UDVP', 'usuarios de drogas por vía parenteral')",UDVP,usuarios de drogas por vía parenteral
"('CF', 'cadena de frío')",CF,cadena de frío
"('NEWSQOL', 'newcastle stroke-specific quality of life measure')",NEWSQOL,newcastle stroke-specific quality of life measure
"('BRIEF', 'behavior rating inventory of executive function')",BRIEF,behavior rating inventory of executive function
"('W-P-W', 'wolff-parkinson-white')",W-P-W,wolff-parkinson-white
"('IPPB', 'infección de piel y partes blandas')",IPPB,infección de piel y partes blandas
"('SLE', 'systemic lupus erythematosus')",SLE,systemic lupus erythematosus
"('IA', 'incidencias acumuladas')",IA,incidencias acumuladas
"('ETAP', 'escala de tabaquismo para atención primaria')",ETAP,escala de tabaquismo para atención primaria
"('P.B.T.E.P.', 'punción-biópsica transperineal ecodirigida de próstata')",P.B.T.E.P.,punción-biópsica transperineal ecodirigida de próstata
"('FDAEI', 'frecuencia de descarga de la actividad epileptiforme interictal')",FDAEI,frecuencia de descarga de la actividad epileptiforme interictal
"('ISO', 'infección de sitio operatorio')",ISO,infección de sitio operatorio
"('GETECCU', 'grupo español de trabajo en enfermedad de crohn y colitis ulcerosa')",GETECCU,grupo español de trabajo en enfermedad de crohn y colitis ulcerosa
"('Alb', 'albúmina plasmática')",Alb,albúmina plasmática
"('STC', 'sindrome del tunel carpiano')",STC,sindrome del tunel carpiano
"('SRO', 'síndrome referencial olfatorio')",SRO,síndrome referencial olfatorio
"('LIEBG', 'lesión intraepitelial escamosa de bajo grado')",LIEBG,lesión intraepitelial escamosa de bajo grado
"('SMet', 'síndrome metabólico')",SMet,síndrome metabólico
"('AMG', 'automedición de la glucemia')",AMG,automedición de la glucemia
"('ATP III', 'adultos iii')",ATP III,adultos iii
"('SEFH', 'sociedad española de farmacia hospitalaria')",SEFH,sociedad española de farmacia hospitalaria
"('RP', 'razones de prevalencia')",RP,razones de prevalencia
"('GPC', 'guía de práctica clínica')",GPC,guía de práctica clínica
"('Igs', 'inmunoglobulinas')",Igs,inmunoglobulinas
"('PCM', 'pastel de carne de murcia')",PCM,pastel de carne de murcia
"('VPH-AR', 'virus de papiloma humano de alto riesgo')",VPH-AR,virus de papiloma humano de alto riesgo
"('SAAC', 'sistemas de comunicacion aumentativa y alternativa')",SAAC,sistemas de comunicacion aumentativa y alternativa
"('SNI', 'sistema nacional de investigadores')",SNI,sistema nacional de investigadores
"('IAAS', 'infecciones asociadas a la atención de la salud')",IAAS,infecciones asociadas a la atención de la salud
"('GETECCU', 'grupo español de trabajo de enfermedad de crohn y colitis ulcerosa')",GETECCU,grupo español de trabajo de enfermedad de crohn y colitis ulcerosa
"('VSG', 'velocidad de sedimentación globular')",VSG,velocidad de sedimentación globular
"('NEA', 'nutrición enteral ambulatoria')",NEA,nutrición enteral ambulatoria
"('AFP', 'alpha-fetoproteína')",AFP,alpha-fetoproteína
"('EAI', 'epilepsia de ausencias infantil')",EAI,epilepsia de ausencias infantil
"('TTPA', 'tromboplastina parcial activado')",TTPA,tromboplastina parcial activado
"('ATM', 'accidentes de trabajo mortales')",ATM,accidentes de trabajo mortales
"('DMT2', 'diabetes mellitus tipo 2')",DMT2,diabetes mellitus tipo 2
"('ASA', 'aceite de salvado de arroz')",ASA,aceite de salvado de arroz
"('TEV', 'terapia endovascular')",TEV,terapia endovascular
"('PROA', 'programas de optimización de uso de antimicrobianos')",PROA,programas de optimización de uso de antimicrobianos
"('E.C.P.S.', 'encefalopatía crónica portosistémica')",E.C.P.S.,encefalopatía crónica portosistémica
"('SSJ', 'stevens-johnson')",SSJ,stevens-johnson
"('FRC', 'fatiga relacionada con el cáncer')",FRC,fatiga relacionada con el cáncer
"('MED', 'mediterránea')",MED,mediterránea
"('VRP', 'vitreorretinopatía proliferante')",VRP,vitreorretinopatía proliferante
"('ENV', 'estimulacion del nervio vago')",ENV,estimulacion del nervio vago
"('TFD', 'trastornos funcionales digestivos')",TFD,trastornos funcionales digestivos
"('IC 95%', 'intervalos de confianza al 95 %')",IC 95%,intervalos de confianza al 95 %
"('MEB', 'microscopia electrónica de barrido')",MEB,microscopia electrónica de barrido
"('SCARTD', 'societat catalana d\'anestesiologia, reanimació i terapèutica del dolor""')",SCARTD,"societat catalana d'anestesiologia, reanimació i terapèutica del dolor"""
"('AINES', 'antiinflamatorios no esteroides')",AINES,antiinflamatorios no esteroides
"('Sinais', 'sistema nacional de información en salud')",Sinais,sistema nacional de información en salud
"('EVW', 'enfermedad de von willebrand')",EVW,enfermedad de von willebrand
"('MIS', 'memory impairment screen')",MIS,memory impairment screen
"('y II', 'y aurotiomalato sódico: una revisión comparada')",y II,y aurotiomalato sódico: una revisión comparada
"('DE', 'disruptores endocrinos')",DE,disruptores endocrinos
"('SIDA', 'sarcoma epidémico de kaposi')",SIDA,sarcoma epidémico de kaposi
"('vHIT', 'video head impulse test')",vHIT,video head impulse test
"('DAQ', 'depression attitudes questionnaire')",DAQ,depression attitudes questionnaire
"('ECOE', 'evaluación clínica objetiva y estructurada')",ECOE,evaluación clínica objetiva y estructurada
"('TAMIS', 'transanal mínimamente invasiva')",TAMIS,transanal mínimamente invasiva
"('FC', 'fotocoagulación con láser')",FC,fotocoagulación con láser
"('SPC', 'síndrome postcolecistectomía')",SPC,síndrome postcolecistectomía
"('PALOC', 'perimetría automatizada de longitud de onda corta')",PALOC,perimetría automatizada de longitud de onda corta
"('AGEMZA', 'academia general militar de zaragoza')",AGEMZA,academia general militar de zaragoza
"('GLOMANCHA', 'glomerulonefritis en castilla-la mancha')",GLOMANCHA,glomerulonefritis en castilla-la mancha
"('TARV', 'terapia antirretroviral')",TARV,terapia antirretroviral
"('EPIC', 'europeo sobre cáncer y nutrición')",EPIC,europeo sobre cáncer y nutrición
"('IOF', 'international osteoporosis foundation')",IOF,international osteoporosis foundation
"('RAQoL', 'rheumatoid arthritis quality of life scale')",RAQoL,rheumatoid arthritis quality of life scale
"('AIVD', 'actividades instrumentales de la vida diaria')",AIVD,actividades instrumentales de la vida diaria
"('ETV', 'entecavir')",ETV,entecavir
"('SRE', 'sistema reticuloendotelial')",SRE,sistema reticuloendotelial
"('EA', 'espondiloartritis anquilosante')",EA,espondiloartritis anquilosante
"('TNE', 'transición nutricional española')",TNE,transición nutricional española
"('ATM', 'articulación temporomandibular')",ATM,articulación temporomandibular
"('RIUPS', 'red iberoamericana de universidades promotoras de la salud')",RIUPS,red iberoamericana de universidades promotoras de la salud
"('ARCO', 'acceso, rectificación, cancelación y oposición')",ARCO,"acceso, rectificación, cancelación y oposición"
"('TTVCI', 'trombosis tumoral en vena cava inferior')",TTVCI,trombosis tumoral en vena cava inferior
"('AVPP', 'años de vida perdidos por muerte prematura')",AVPP,años de vida perdidos por muerte prematura
"('GEMI', 'grupo de estudio multicéntrico del infarto')",GEMI,grupo de estudio multicéntrico del infarto
"('NMDAR', 'n-metil-d-aspartato')",NMDAR,n-metil-d-aspartato
"('ATB', 'accidentes de trabajo (at) previos con')",ATB,accidentes de trabajo (at) previos con
"('TEP', 'tromboembolismo pulmonar')",TEP,tromboembolismo pulmonar
"('G%', 'grasas')",G%,grasas
"('ECG', 'escala del coma de glasgow')",ECG,escala del coma de glasgow
"('FAE', 'farmacos antiepilepticos')",FAE,farmacos antiepilepticos
"('IFH', 'isomerasa de fosfohexosa')",IFH,isomerasa de fosfohexosa
"('EEPP', 'educativa promotora de la participación')",EEPP,educativa promotora de la participación
"('DREEM', 'dundee ready education environment measure')",DREEM,dundee ready education environment measure
"('AHA', 'american heart association')",AHA,american heart association
"('SLA', ""screening lexico para las afasias'"")",SLA,screening lexico para las afasias'
"('ETC', 'energía total consumida')",ETC,energía total consumida
"('CMNS', 'células mononucleares sanguíneas')",CMNS,células mononucleares sanguíneas
"('ROC', 'rendimiento diagnóstico')",ROC,rendimiento diagnóstico
"('AM', 'alteraciones metabólicas')",AM,alteraciones metabólicas
"('UCIP', 'unidad de cuidados intensivos pediatricos')",UCIP,unidad de cuidados intensivos pediatricos
"('SDS-R', 'self-directed search')",SDS-R,self-directed search
"('TCMD-16', 'tomografía computarizada de 16 detectores')",TCMD-16,tomografía computarizada de 16 detectores
